title,status,tag,url
"The Missing Semester of Your CS Education","Not Started","","https://missing.csail.mit.edu/"
"Gtk-Theming-Guide/creating_icon_theme.md at master · surajmandalcell/Gtk-Theming-Guide","Not Started","GTK theming","https://github.com/surajmandalcell/Gtk-Theming-Guide/blob/master/creating_icon_theme.md"
"Software Programming","Not Started","Code Formatting","https://www.youtube.com/playlist?list=PLUxszVpqZTNShoypLQW9a4dEcffsoZT4k"
"Microsoft Build - Join us May 24-26 2022","Not Started","Frontend Testing","https://mybuild.microsoft.com/en-US/sessions/80fa0592-32bd-4b6a-90f6-bb7d92f30f90/?ocid=aid3046724&utm_issue=202208&utm_position=YFC05&utm_topic=Application-Development&utm_content=Video&utm_section=Learning-resources&utm_cta=Watchnow&utm_description=TestmodernwebappswithPlaywright"
"Front-end Testing Strategy","Not Started","Frontend Testing","https://itnext.io/front-end-testing-strategy-5fddfd463feb"
"https://github.com/testing-library/jest-dom","Not Started","Frontend Testing","https://github.com/testing-library/jest-dom"
"https://github.com/testing-library/react-testing-library","Not Started","Frontend Testing","https://github.com/testing-library/react-testing-library"
"Testing Recipes - React","Not Started","Frontend Testing","https://reactjs.org/docs/testing-recipes.html#mocking-modules"
"React Testing Library Tutorial","Not Started","Frontend Testing","https://www.robinwieruch.de/react-testing-library"
"Getting Started · Jest","Not Started","Frontend Testing","https://jestjs.io/docs/en/getting-started"
"Testing Pipeline 101 For Frontend Testing - Smashing Magazine","Not Started","Frontend Testing","https://www.smashingmagazine.com/2022/02/testing-pipeline-101-frontend-testing/"
"Postman Beginner's Course - API Testing","Not Started","API Testing","https://www.youtube.com/watch?v=VywxIQ2ZXw4"
"GitHub - goldbergyoni/javascript-testing-best-practices: 📗🌐 🚢 Comprehensive and exhaustive JavaScript & Node.js testing best practices (April 2022)","Not Started","API Testing","https://github.com/goldbergyoni/javascript-testing-best-practices?ck_subscriber_id=1663713556"
"RegExr: Learn, Build, & Test RegEx","Not Started","Regular Expression","https://regexr.com/"
"Regex Crossword","Not Started","Regular Expression","https://regexcrossword.com/"
"Regular-Expressions.info - Regex Tutorial, Examples and Reference - Regexp Patterns","Not Started","Regular Expression","https://www.regular-expressions.info/"
"The Ultimate Guide for Regular Expressions (Regex)","Not Started","Regular Expression","https://www.thecodingdev.com/2022/11/the-ultimate-guide-for-regular.html?ck_subscriber_id=1663713556"
"Learn Accessibility","Not Started","Web Accessibility","https://web.dev/learn/accessibility/"
"Demystifying Web Accessibility","Not Started","Web Accessibility","https://cfe.dev/sessions/fefd2022-demystifying-accessibility/"
"A Guide To Accessible Form Validation — Smashing Magazine","Not Started","Web Accessibility","https://www.smashingmagazine.com/2023/02/guide-accessible-form-validation/"
"How to Meet WCAG (Quickref Reference)","Not Started","Web Accessibility","https://www.w3.org/WAI/WCAG21/quickref/"
"Articles","Not Started","Web Accessibility","https://webaim.org/articles/"
"Tutorials Overview","Not Started","Web Accessibility","https://www.w3.org/WAI/tutorials/"
"Inclusive Components","Not Started","Web Accessibility","https://inclusive-components.design/"
